City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
492,Atyrau,KZ,86.02,clear sky,47.1167,51.8833,River Palace Hotel
495,Tottori,JP,78.67,clear sky,35.5,134.2333,Hotel Monarque Tottori
500,Camrose,CA,86.58,scattered clouds,53.0168,-112.8353,R & R Inn & Suites
501,Wilmington,US,82.31,broken clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
503,Carupano,VE,84.78,clear sky,10.6678,-63.2585,Hotel La dorada
504,Vila Franca Do Campo,PT,73.81,clear sky,37.7167,-25.4333,Pestana Bahia Praia
507,Tubuala,PA,85.33,broken clouds,9.5167,-79.0333,Río Nabagana
508,Kerema,PG,75.06,overcast clouds,-7.9631,145.7785,Frena Lodge
509,Bayonet Point,US,85.44,moderate rain,28.3267,-82.6834,Homewood Suites by Hilton Tampa-Port Richey
510,Kathmandu,NP,73.62,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
513,Ahuimanu,US,82.11,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
514,Sokoni,TZ,76.86,scattered clouds,-6.4333,39.55,Ujamaa Beach Resort
515,Muri,IN,79.83,few clouds,23.3667,85.8667,Sanyasi Lodge
519,La Rioja,ES,71.38,clear sky,42.25,-2.5,Casa Concejos
521,Mbandaka,CD,80.49,overcast clouds,0.0487,18.2603,Guest House Epervier
526,Korcula,HR,77.56,overcast clouds,42.9622,17.1369,Marko Polo Hotel by Aminess
527,Kirakira,SB,73.15,clear sky,-10.4544,161.9205,SanBiz Lodge
528,Vanimo,PG,76.03,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
530,Naze,JP,77.79,overcast clouds,28.3667,129.4833,Amami Port Tower Hotel
531,Bredy,RU,73.09,overcast clouds,52.4153,60.3411,Individual'nyy Predprinimatel' Rakhmanin Andrey Aleksandrovich
532,Axim,GH,76.82,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
534,Honiara,SB,73.72,broken clouds,-9.4333,159.95,Heritage Park Hotel
535,Maragogi,BR,74.05,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
537,Le Mars,US,86.72,scattered clouds,42.7942,-96.1656,"Holiday Inn Express & Suites Le Mars, an IHG Hotel"
540,Shelburne,CA,84.06,clear sky,44.0787,-80.2041,The Retreat at the Farm
541,Alekseyevka,RU,71.01,scattered clouds,50.6309,38.6903,Apartment on Ploshchad Pobedy
