City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,Bonthe,SL,2021-08-05 19:50:53,7.5264,-12.505,77.11,82,100,13.24,light rain
193,Pontes E Lacerda,BR,2021-08-05 19:50:53,-15.2261,-59.3353,92.8,15,27,2.91,scattered clouds
194,Verkhoyansk,RU,2021-08-05 19:50:53,67.5447,133.385,43.59,83,32,4.03,scattered clouds
195,Namatanai,PG,2021-08-05 19:50:54,-3.6667,152.4333,78.06,86,99,9.28,moderate rain
196,Lazaro Cardenas,MX,2021-08-05 19:50:54,17.9583,-102.2,84.78,66,97,4.09,overcast clouds
197,Pevek,RU,2021-08-05 19:50:54,69.7008,170.3133,37.71,97,100,4.43,overcast clouds
198,Kavaratti,IN,2021-08-05 19:50:54,10.5669,72.642,82.2,80,99,20.76,overcast clouds
199,Coihaique,CL,2021-08-05 19:49:51,-45.5752,-72.0662,51.75,43,90,10.36,light rain
200,Jalu,LY,2021-08-05 19:50:55,29.0331,21.5482,95.52,16,0,17.16,clear sky
201,Dese,ET,2021-08-05 19:50:55,11.1333,39.6333,54.99,80,49,2.66,light rain
202,Katobu,ID,2021-08-05 19:50:55,-4.9408,122.5276,74.46,92,81,5.41,broken clouds
203,Mapiripan,CO,2021-08-05 19:50:56,2.8892,-72.1256,75.31,85,95,4.79,overcast clouds
204,Kahului,US,2021-08-05 19:50:56,20.8947,-156.47,82.42,76,20,17.27,few clouds
205,Sitka,US,2021-08-05 19:50:56,57.0531,-135.33,66.09,59,90,10.36,overcast clouds
206,Inuvik,CA,2021-08-05 19:50:57,68.3499,-133.7218,69.01,50,1,8.05,smoke
207,Port Alfred,ZA,2021-08-05 19:49:00,-33.5906,26.891,62.26,92,7,5.44,clear sky
208,Nizwa,OM,2021-08-05 19:50:57,22.9333,57.5333,93.11,28,3,6.31,clear sky
209,Klaksvik,FO,2021-08-05 19:50:57,62.2266,-6.589,54.52,95,100,7.49,overcast clouds
210,Hami,CN,2021-08-05 19:50:57,42.8,93.45,85.08,21,93,15.05,overcast clouds
211,Olinda,BR,2021-08-05 19:50:58,-8.0089,-34.8553,74.93,94,75,10.36,mist
212,Daru,PG,2021-08-05 19:49:14,-9.0763,143.2092,76.03,78,61,14.9,broken clouds
213,Visnes,NO,2021-08-05 19:50:58,59.3556,5.2242,63.1,77,36,6.91,scattered clouds
214,Ballina,AU,2021-08-05 19:50:58,-28.8667,153.5667,47.79,93,46,2.3,scattered clouds
215,Ossora,RU,2021-08-05 19:50:59,59.2353,163.0719,48.38,92,100,11.61,moderate rain
216,Pangkalanbuun,ID,2021-08-05 19:50:59,-2.6833,111.6167,74.59,98,100,2.44,overcast clouds
217,Barra Do Garcas,BR,2021-08-05 19:50:49,-15.89,-52.2567,91.98,19,0,9.22,clear sky
